"","GEOID","var","var_type","value"
"141","13059000402","Inc10K_24K","est",73
"142","13059000402","Inc150K_199K","est",0
"143","13059000402","Inc25K_49K","est",46
"144","13059000402","Inc50K_74K","est",16
"145","13059000402","Inc75K_99K","est",0
"146","13059000402","Ind_ag","est",22
"147","13059000402","Ind_arts","est",521
"148","13059000402","Ind_const","est",0
"149","13059000402","Ind_edhlth","est",737
"150","13059000402","Ind_finan","est",17
"151","13059000402","Ind_info","est",82
"152","13059000402","Ind_manf","est",6
"153","13059000402","Ind_other","est",76
"154","13059000402","Ind_prof","est",84
"155","13059000402","Ind_pubad","est",8
"156","13059000402","Ind_retail","est",237
"157","13059000402","Ind_trans","est",7
"158","13059000402","Ind_whlsl","est",4
"159","13059000402","Inet_any","est",271
"160","13059000402","Inet_broad","est",243
"161","13059000402","Pov_Ov65","est",4
"162","13059000402","Pov_Und18","est",23
"163","13059000402","Rce_AI","est",0
"164","13059000402","Rce_AsnNH","est",888
"165","13059000402","Rce_BlkNH","est",1120
"166","13059000402","Rce_Hisp","est",546
"167","13059000402","Rce_HPI","est",0
"168","13059000402","Rce_OthNH","est",15
"169","13059000402","Rce_WhtNH","est",5666
"170","13059000402","Rent30","est",215
"171","13059000402","Sch_grad","est",100
"172","13059000402","Sch_Kpre","est",0
"173","13059000402","Sch_ugrad","est",8296
"174","13059000402","Trn_car","est",160
"175","13059000402","Trn_carpool","est",5
"176","13059000402","Trn_home","est",0
"177","13059000402","Trn_noveh","est",33
"178","13059000402","Trn_pub","est",0
"179","13059000402","Trn_taxi","est",0
"180","13059000402","Trn_walk","est",120
"181","13059000600","Age05","est",187
"182","13059000600","Age18_24","est",942
"183","13059000600","AgeO65","est",121
"184","13059000600","AgeU18","est",484
"185","13059000600","Ed_ba","est",375
"186","13059000600","Ed_hsgrad","est",183
"187","13059000600","Ed_lesshs","est",189
"188","13059000600","Ed_ma","est",268
"189","13059000600","Ed_prof_doc","est",107
"190","13059000600","Ed_somecol","est",245
"191","13059000600","Empl_labor","est",1500
"192","13059000600","Empl_unemp","est",226
"193","13059000600","HInsur_FBNat","est",48
"194","13059000600","HInsur_FBNC","est",77
"195","13059000600","HInsur_Nat","est",2561
"196","13059000600","HousOwn","est",190
"197","13059000600","HousRent","est",2089
"198","13059000600","Inc_10K","est",197
"199","13059000600","Inc_200K","est",36
"200","13059000600","Inc100K_149K","est",227
"201","13059000600","Inc10K_24K","est",275
"202","13059000600","Inc150K_199K","est",20
"203","13059000600","Inc25K_49K","est",309
"204","13059000600","Inc50K_74K","est",73
"205","13059000600","Inc75K_99K","est",19
"206","13059000600","Ind_ag","est",0
"207","13059000600","Ind_arts","est",342
"208","13059000600","Ind_const","est",0
"209","13059000600","Ind_edhlth","est",390
"210","13059000600","Ind_finan","est",68
"211","13059000600","Ind_info","est",3
"212","13059000600","Ind_manf","est",257
"213","13059000600","Ind_other","est",71
"214","13059000600","Ind_prof","est",63
"215","13059000600","Ind_pubad","est",9
"216","13059000600","Ind_retail","est",56
"217","13059000600","Ind_trans","est",38
"218","13059000600","Ind_whlsl","est",0
"219","13059000600","Inet_any","est",991
"220","13059000600","Inet_broad","est",898
"221","13059000600","Pov_Ov65","est",121
"222","13059000600","Pov_Und18","est",481
"223","13059000600","Rce_AI","est",0
"224","13059000600","Rce_AsnNH","est",160
"225","13059000600","Rce_BlkNH","est",1104
"226","13059000600","Rce_Hisp","est",104
"227","13059000600","Rce_HPI","est",0
"228","13059000600","Rce_OthNH","est",0
"229","13059000600","Rce_WhtNH","est",1608
"230","13059000600","Rent30","est",459
"231","13059000600","Sch_grad","est",253
"232","13059000600","Sch_Kpre","est",72
"233","13059000600","Sch_ugrad","est",918
"234","13059000600","Trn_car","est",625
"235","13059000600","Trn_carpool","est",44
"236","13059000600","Trn_home","est",38
"237","13059000600","Trn_noveh","est",68
"238","13059000600","Trn_pub","est",29
"239","13059000600","Trn_taxi","est",12
"240","13059000600","Trn_walk","est",423
"241","13059000900","Age05","est",447
"242","13059000900","Age18_24","est",840
"243","13059000900","AgeO65","est",514
"244","13059000900","AgeU18","est",1100
"245","13059000900","Ed_ba","est",192
"246","13059000900","Ed_hsgrad","est",730
"247","13059000900","Ed_lesshs","est",429
"248","13059000900","Ed_ma","est",85
"249","13059000900","Ed_prof_doc","est",11
"250","13059000900","Ed_somecol","est",791
"251","13059000900","Empl_labor","est",1843
"252","13059000900","Empl_unemp","est",135
"253","13059000900","HInsur_FBNat","est",21
"254","13059000900","HInsur_FBNC","est",82
"255","13059000900","HInsur_Nat","est",3468
"256","13059000900","HousOwn","est",525
"257","13059000900","HousRent","est",3483
"258","13059000900","Inc_10K","est",483
"259","13059000900","Inc_200K","est",0
"260","13059000900","Inc100K_149K","est",86
"261","13059000900","Inc10K_24K","est",631
"262","13059000900","Inc150K_199K","est",16
"263","13059000900","Inc25K_49K","est",301
"264","13059000900","Inc50K_74K","est",215
"265","13059000900","Inc75K_99K","est",38
"266","13059000900","Ind_ag","est",0
"267","13059000900","Ind_arts","est",385
"268","13059000900","Ind_const","est",11
"269","13059000900","Ind_edhlth","est",371
"270","13059000900","Ind_finan","est",26
"271","13059000900","Ind_info","est",12
"272","13059000900","Ind_manf","est",316
"273","13059000900","Ind_other","est",60
"274","13059000900","Ind_prof","est",143
"275","13059000900","Ind_pubad","est",69
"276","13059000900","Ind_retail","est",326
"277","13059000900","Ind_trans","est",76
"278","13059000900","Ind_whlsl","est",0
"279","13059000900","Inet_any","est",1412
"280","13059000900","Inet_broad","est",904
"281","13059000900","Pov_Ov65","est",450
