"","GEOID","NAME","variable","estimate","moe","source"
"44","13059150701","Census Tract 1507.01, Clarke County, Georgia","B15003_023",254,138,"American Community Survey, 5 year sample, 2016-2020"
"45","13059150701","Census Tract 1507.01, Clarke County, Georgia","B15003_024",108,66,"American Community Survey, 5 year sample, 2016-2020"
"46","13059150701","Census Tract 1507.01, Clarke County, Georgia","B15003_025",240,90,"American Community Survey, 5 year sample, 2016-2020"
"47","13059150701","Census Tract 1507.01, Clarke County, Georgia","B16010_001",2857,300,"American Community Survey, 5 year sample, 2016-2020"
"48","13059150701","Census Tract 1507.01, Clarke County, Georgia","B16010_002",194,111,"American Community Survey, 5 year sample, 2016-2020"
"49","13059150701","Census Tract 1507.01, Clarke County, Georgia","B16010_015",495,248,"American Community Survey, 5 year sample, 2016-2020"
"50","13059150701","Census Tract 1507.01, Clarke County, Georgia","B16010_028",949,257,"American Community Survey, 5 year sample, 2016-2020"
"51","13059150701","Census Tract 1507.01, Clarke County, Georgia","B17020_001",4300,550,"American Community Survey, 5 year sample, 2016-2020"
"52","13059150701","Census Tract 1507.01, Clarke County, Georgia","B17020_002",862,240,"American Community Survey, 5 year sample, 2016-2020"
"53","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_001",2168,225,"American Community Survey, 5 year sample, 2016-2020"
"54","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_002",187,132,"American Community Survey, 5 year sample, 2016-2020"
"55","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_003",275,157,"American Community Survey, 5 year sample, 2016-2020"
"56","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_004",110,81,"American Community Survey, 5 year sample, 2016-2020"
"57","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_005",96,91,"American Community Survey, 5 year sample, 2016-2020"
"58","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_006",187,128,"American Community Survey, 5 year sample, 2016-2020"
"59","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_007",41,39,"American Community Survey, 5 year sample, 2016-2020"
"60","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_008",254,197,"American Community Survey, 5 year sample, 2016-2020"
"61","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_009",95,80,"American Community Survey, 5 year sample, 2016-2020"
"62","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_010",111,91,"American Community Survey, 5 year sample, 2016-2020"
"63","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_011",105,61,"American Community Survey, 5 year sample, 2016-2020"
"64","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_012",165,96,"American Community Survey, 5 year sample, 2016-2020"
"65","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_013",191,98,"American Community Survey, 5 year sample, 2016-2020"
"66","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_014",137,87,"American Community Survey, 5 year sample, 2016-2020"
"67","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_015",62,42,"American Community Survey, 5 year sample, 2016-2020"
"68","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_016",113,56,"American Community Survey, 5 year sample, 2016-2020"
"69","13059150701","Census Tract 1507.01, Clarke County, Georgia","B19001_017",39,31,"American Community Survey, 5 year sample, 2016-2020"
"70","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25001_001",2203,220,"American Community Survey, 5 year sample, 2016-2020"
"71","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25008_001",4300,550,"American Community Survey, 5 year sample, 2016-2020"
"72","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25008_002",1755,336,"American Community Survey, 5 year sample, 2016-2020"
"73","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25008_003",2545,580,"American Community Survey, 5 year sample, 2016-2020"
"74","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25070_001",1396,243,"American Community Survey, 5 year sample, 2016-2020"
"75","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25070_007",30,36,"American Community Survey, 5 year sample, 2016-2020"
"76","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25070_008",112,88,"American Community Survey, 5 year sample, 2016-2020"
"77","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25070_009",177,188,"American Community Survey, 5 year sample, 2016-2020"
"78","13059150701","Census Tract 1507.01, Clarke County, Georgia","B25070_010",537,220,"American Community Survey, 5 year sample, 2016-2020"
"79","13059150701","Census Tract 1507.01, Clarke County, Georgia","B27003_009",552,285,"American Community Survey, 5 year sample, 2016-2020"
"80","13059150701","Census Tract 1507.01, Clarke County, Georgia","B27003_037",440,251,"American Community Survey, 5 year sample, 2016-2020"
"81","13059150701","Census Tract 1507.01, Clarke County, Georgia","B27020_003",3432,574,"American Community Survey, 5 year sample, 2016-2020"
"82","13059150701","Census Tract 1507.01, Clarke County, Georgia","B27020_009",159,87,"American Community Survey, 5 year sample, 2016-2020"
"83","13059150701","Census Tract 1507.01, Clarke County, Georgia","B27020_014",250,149,"American Community Survey, 5 year sample, 2016-2020"
"84","13059150701","Census Tract 1507.01, Clarke County, Georgia","B28011_001",2168,225,"American Community Survey, 5 year sample, 2016-2020"
"85","13059150701","Census Tract 1507.01, Clarke County, Georgia","B28011_002",2094,236,"American Community Survey, 5 year sample, 2016-2020"
"86","13059150701","Census Tract 1507.01, Clarke County, Georgia","B28011_004",1737,243,"American Community Survey, 5 year sample, 2016-2020"
"87","13059150701","Census Tract 1507.01, Clarke County, Georgia","C18120_001",3088,450,"American Community Survey, 5 year sample, 2016-2020"
"88","13059150701","Census Tract 1507.01, Clarke County, Georgia","C18120_002",2518,400,"American Community Survey, 5 year sample, 2016-2020"
"89","13059150701","Census Tract 1507.01, Clarke County, Georgia","C18120_006",117,84,"American Community Survey, 5 year sample, 2016-2020"
"90","13059150701","Census Tract 1507.01, Clarke County, Georgia","C18130_002",616,279,"American Community Survey, 5 year sample, 2016-2020"
"91","13059150701","Census Tract 1507.01, Clarke County, Georgia","C18130_016",596,119,"American Community Survey, 5 year sample, 2016-2020"
"92","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_001",2529,403,"American Community Survey, 5 year sample, 2016-2020"
"93","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_002",12,20,"American Community Survey, 5 year sample, 2016-2020"
"94","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_003",36,58,"American Community Survey, 5 year sample, 2016-2020"
"95","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_004",116,94,"American Community Survey, 5 year sample, 2016-2020"
"96","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_005",120,77,"American Community Survey, 5 year sample, 2016-2020"
"97","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_006",246,114,"American Community Survey, 5 year sample, 2016-2020"
"98","13059150701","Census Tract 1507.01, Clarke County, Georgia","C24070_007",12,23,"American Community Survey, 5 year sample, 2016-2020"
