School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,L1000,38.6,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,L1000,70.8,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,L1000,81.2,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,L1000,64,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,L1000,150.7,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,L1000,50,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,L1000,47.7,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,L1000,201.4,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,L1000,57.1,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,L1000,78.7,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,L1000,40.8,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,L1000,78,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,L1000,105.6,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,L1000,83.5,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,DRIVEWAY,0.3,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,DRIVEWAY,0.54,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,DRIVEWAY,0.32,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,DRIVEWAY,0.83,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,DRIVEWAY,0.56,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,DRIVEWAY,0.8,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,DRIVEWAY,0.96,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,DRIVEWAY,0.45,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,DRIVEWAY,0.45,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,DRIVEWAY,0.8,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,DRIVEWAY,0.58,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,DRIVEWAY,0.58,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,DRIVEWAY,0.53,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,DRIVEWAY,0.87,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,DRIVEWAY,0.91,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,DRIVEWAY,0.78,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,VIOL_REF,30.72,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,VIOL_REF,10.22,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,VIOL_REF,16.91,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,VIOL_REF,NA,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,VIOL_REF,12.24,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,VIOL_REF,13,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,VIOL_REF,18.12,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,VIOL_REF,32.9,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,VIOL_REF,21.41,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,VIOL_REF,3.31,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,VIOL_REF,NA,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,VIOL_REF,14.99,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,VIOL_REF,8.22,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,VIOL_REF,3.04,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,VIOL_REF,2.58,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,VIOL_REF,7.11,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,DOMCRIME,1568.95,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,DOMCRIME,610.75,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,DOMCRIME,326.62,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,DOMCRIME,1009.59,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,DOMCRIME,1311.97,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,DOMCRIME,1143.64,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,DOMCRIME,1706.04,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,DOMCRIME,2591.79,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,DOMCRIME,1940.27,-99
