School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERGREEN,40.94,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERGREEN,87.23,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERGREEN,84.21,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERGREEN,39.41,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERGREEN,70.05,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERGREEN,87.21,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERGREEN,48.64,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERGREEN,78.4,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERGREEN,62.18,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERGREEN,94.26,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERGREEN,75.41,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERGREEN,90.98,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERIMSTR,39.13,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERIMSTR,33.37,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERIMSTR,34.57,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERIMSTR,23.39,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERIMSTR,19.43,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERIMSTR,7.21,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERIMSTR,11.73,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERIMSTR,31.36,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERIMSTR,37.67,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERIMSTR,0,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERIMSTR,9.47,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERIMSTR,40.19,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERIMSTR,20.68,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERIMSTR,1.59,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERIMSTR,2.11,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERIMSTR,5.79,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMTOXIC,0,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMTOXIC,0,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMTOXIC,0,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMTOXIC,0,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMTOXIC,6,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMTOXIC,6,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMTOXIC,4,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMTOXIC,0,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMTOXIC,3,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMTOXIC,0,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMTOXIC,0,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMTOXIC,0,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMTOXIC,0,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMTOXIC,0,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMTOXIC,3,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMTOXIC,6,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERCONSE,0,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERCONSE,4,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERCONSE,0,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERCONSE,0,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERCONSE,0.72,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERCONSE,10.14,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERCONSE,0,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERCONSE,0,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERCONSE,0.06,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERCONSE,0.32,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERCONSE,0,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERCONSE,6.95,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERCONSE,1.5,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERCONSE,2,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERCONSE,0.43,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERCONSE,5.7,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMFOODP,1,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMFOODP,0,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMFOODP,1,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMFOODP,1,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMFOODP,3,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMFOODP,0,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMFOODP,1,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMFOODP,2,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMFOODP,0,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMFOODP,0,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMFOODP,0,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMFOODP,0,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMFOODP,1,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMFOODP,0,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMFOODP,0,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMFOODP,0,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMSGARD,2,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMSGARD,2,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMSGARD,2,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMSGARD,0,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMSGARD,1,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMSGARD,0,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMSGARD,1,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMSGARD,2,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMSGARD,1,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMSGARD,1,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMSGARD,2,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMSGARD,1,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMSGARD,1,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMSGARD,1,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMSGARD,1,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMSGARD,1,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMCOMGAR,3,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMCOMGAR,1,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMCOMGAR,1,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMCOMGAR,0,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMCOMGAR,4,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMCOMGAR,0,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMCOMGAR,1,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMCOMGAR,0,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMCOMGAR,1,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMCOMGAR,1,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMCOMGAR,0,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMCOMGAR,1,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMCOMGAR,0,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMCOMGAR,0,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMCOMGAR,0,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMCOMGAR,0,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,MEANHVAL,157393.65,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,MEANHVAL,131086.69,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,MEANHVAL,259721.05,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,MEANHVAL,75612.13,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,MEANHVAL,181510.42,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,MEANHVAL,110227.98,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,MEANHVAL,71262.48,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,MEANHVAL,90948.24,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,MEANHVAL,110377.44,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,MEANHVAL,58543.99,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,MEANHVAL,125450.59,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,MEANHVAL,124076.77,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,MEANHVAL,192582.47,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,MEANHVAL,141321.86,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,MEANHVAL,124259.19,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,MEANHVAL,96424.8,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER1MPRE,0.963299,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER1MPRE,0.159206,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER1MPRE,0.430701,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER1MPRE,0.090838,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER1MPRE,0.631091,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER1MPRE,0.042612,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER1MPRE,0.200559,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER1MPRE,0.905161,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER1MPRE,0.547567,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER1MPRE,0.413715,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER1MPRE,0.603387,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER1MPRE,0.196836,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER1MPRE,0.565519,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER1MPRE,0.08299,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER1MPRE,0.445698,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER1MPRE,0.094604,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER3MPRE,1,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER3MPRE,0.578841,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER3MPRE,0.786158,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER3MPRE,0.635804,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER3MPRE,0.892634,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER3MPRE,0.294696,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER3MPRE,0.457761,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER3MPRE,1,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER3MPRE,1,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER3MPRE,0.738994,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER3MPRE,1,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER3MPRE,0.460044,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER3MPRE,0.93864,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER3MPRE,0.270275,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER3MPRE,0.856759,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER3MPRE,0.498501,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ELATTEND,0.949,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ELATTEND,0.963,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ELATTEND,0.965,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ELATTEND,NA,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ELATTEND,0.964,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ELATTEND,0.959,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ELATTEND,0.963,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ELATTEND,0.953,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ELATTEND,0.956,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ELATTEND,0.971,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ELATTEND,NA,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ELATTEND,0.959,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ELATTEND,0.968,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ELATTEND,0.963,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ELATTEND,NA,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ELATTEND,0.961,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,EYEAREXP,9,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,EYEAREXP,14,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,EYEAREXP,9,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,EYEAREXP,NA,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,EYEAREXP,10,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,EYEAREXP,12,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,EYEAREXP,9,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,EYEAREXP,9,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,EYEAREXP,8,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,EYEAREXP,10,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,EYEAREXP,NA,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,EYEAREXP,12,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,EYEAREXP,10,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,EYEAREXP,8,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,EYEAREXP,NA,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,EYEAREXP,9,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ELCSIZE,20.61,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ELCSIZE,20.56,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ELCSIZE,22.58,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ELCSIZE,NA,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ELCSIZE,19.14,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ELCSIZE,17.98,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ELCSIZE,18,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ELCSIZE,17.78,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ELCSIZE,17.68,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ELCSIZE,20.29,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ELCSIZE,NA,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ELCSIZE,17.09,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ELCSIZE,20.71,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ELCSIZE,22.09,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ELCSIZE,NA,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ELCSIZE,24.76,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,ESTRATIO,10.74,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,ESTRATIO,12.36,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,ESTRATIO,12.77,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,ESTRATIO,NA,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,ESTRATIO,13.71,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,ESTRATIO,10.11,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,ESTRATIO,12.94,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,ESTRATIO,12.09,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,ESTRATIO,12.88,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,ESTRATIO,16.18,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,ESTRATIO,NA,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,ESTRATIO,10.8,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,ESTRATIO,14.81,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,ESTRATIO,13.67,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,ESTRATIO,NA,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,ESTRATIO,15.07,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,CCRASH,70,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,CCRASH,30,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,CCRASH,50,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,CCRASH,10,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,CCRASH,70,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,CCRASH,70,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,CCRASH,70,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,CCRASH,60,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,CCRASH,40,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,CCRASH,20,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,CCRASH,30,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,CCRASH,40,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,CCRASH,50,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,CCRASH,10,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,CCRASH,30,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,CCRASH,40,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,R_SROAD,1.28,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,R_SROAD,0.49,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,R_SROAD,6.48,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,R_SROAD,0.14,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,R_SROAD,1.96,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,R_SROAD,1.75,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,R_SROAD,0.25,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,R_SROAD,0.86,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,R_SROAD,0.8,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,R_SROAD,0.01,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,R_SROAD,0.42,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,R_SROAD,0.38,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,R_SROAD,1.41,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,R_SROAD,1.05,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,R_SROAD,0.98,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,R_SROAD,0.47,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,R_SPERS,86.53,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,R_SPERS,39.04,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,R_SPERS,134.06,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,R_SPERS,9.57,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,R_SPERS,111.31,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,R_SPERS,35.76,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,R_SPERS,28.98,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,R_SPERS,73.43,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,R_SPERS,69.46,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,R_SPERS,1.06,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,R_SPERS,35.84,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,R_SPERS,32.04,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,R_SPERS,26.16,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,R_SPERS,86.6,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,R_SPERS,68.24,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,R_SPERS,39.8,-99
