School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,SAFO,445.16,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,SAFO,246.87,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,SAFO,146.44,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,SAFO,112.46,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,SAFO,178.4,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,SAFO,168.86,-99,Sexual Assault and Family Offense Rates 2000-2015 (Average)
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,CRIMECLE,40.03,-99,Crime Clearance Percentage 2000-2015
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,CRIMECLE,32,-99,Crime Clearance Percentage 2000-2015
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,CRIMECLE,45.85,-99,Crime Clearance Percentage 2000-2015
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,CRIMECLE,33.73,-99,Crime Clearance Percentage 2000-2015
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,CRIMECLE,33.32,-99,Crime Clearance Percentage 2000-2015
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,CRIMECLE,37.99,-99,Crime Clearance Percentage 2000-2015
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,CRIMECLE,33.16,-99,Crime Clearance Percentage 2000-2015
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,CRIMECLE,37.34,-99,Crime Clearance Percentage 2000-2015
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,CRIMECLE,34.63,-99,Crime Clearance Percentage 2000-2015
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,CRIMECLE,32.65,-99,Crime Clearance Percentage 2000-2015
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,CRIMECLE,30.56,-99,Crime Clearance Percentage 2000-2015
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,CRIMECLE,32.17,-99,Crime Clearance Percentage 2000-2015
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,CRIMECLE,30.55,-99,Crime Clearance Percentage 2000-2015
