School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERBARRI,28.571,-99,%Reporting Barriers to Health Care Access
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERBARRI,32.211,-99,%Reporting Barriers to Health Care Access
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERBARRI,24.528,-99,%Reporting Barriers to Health Care Access
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERBARRI,33.071,-99,%Reporting Barriers to Health Care Access
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERBARRI,17.089,-99,%Reporting Barriers to Health Care Access
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERBARRI,21.788,-99,%Reporting Barriers to Health Care Access
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERBARRI,43.548,-99,%Reporting Barriers to Health Care Access
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERBARRI,12.5,-99,%Reporting Barriers to Health Care Access
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERBARRI,28.169,-99,%Reporting Barriers to Health Care Access
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERBARRI,26.724,-99,%Reporting Barriers to Health Care Access
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERBARRI,13.333,-99,%Reporting Barriers to Health Care Access
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERBARRI,25.424,-99,%Reporting Barriers to Health Care Access
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERBARRI,17.986,-99,%Reporting Barriers to Health Care Access
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERAFFOR,3.987,-99,% Reporting Inability to Afford Health Care Access
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERAFFOR,4.688,-99,% Reporting Inability to Afford Health Care Access
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERAFFOR,5.913,-99,% Reporting Inability to Afford Health Care Access
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERAFFOR,5.357,-99,% Reporting Inability to Afford Health Care Access
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERAFFOR,5.474,-99,% Reporting Inability to Afford Health Care Access
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERAFFOR,0.943,-99,% Reporting Inability to Afford Health Care Access
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERAFFOR,6.299,-99,% Reporting Inability to Afford Health Care Access
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERAFFOR,10.443,-99,% Reporting Inability to Afford Health Care Access
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERAFFOR,10.615,-99,% Reporting Inability to Afford Health Care Access
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERAFFOR,3.226,-99,% Reporting Inability to Afford Health Care Access
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERAFFOR,7.237,-99,% Reporting Inability to Afford Health Care Access
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERAFFOR,0.939,-99,% Reporting Inability to Afford Health Care Access
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERAFFOR,0.862,-99,% Reporting Inability to Afford Health Care Access
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERAFFOR,7.333,-99,% Reporting Inability to Afford Health Care Access
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERAFFOR,0,-99,% Reporting Inability to Afford Health Care Access
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERAFFOR,7.194,-99,% Reporting Inability to Afford Health Care Access
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERUNINS,15.615,-99,% Reporting Being Uninsured
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERUNINS,8.854,-99,% Reporting Being Uninsured
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERUNINS,16,-99,% Reporting Being Uninsured
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERUNINS,17.857,-99,% Reporting Being Uninsured
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERUNINS,14.737,-99,% Reporting Being Uninsured
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERUNINS,4.717,-99,% Reporting Being Uninsured
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERUNINS,22.047,-99,% Reporting Being Uninsured
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERUNINS,18.038,-99,% Reporting Being Uninsured
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERUNINS,24.022,-99,% Reporting Being Uninsured
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERUNINS,25.806,-99,% Reporting Being Uninsured
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERUNINS,8.553,-99,% Reporting Being Uninsured
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERUNINS,10.329,-99,% Reporting Being Uninsured
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERUNINS,6.034,-99,% Reporting Being Uninsured
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERUNINS,8,-99,% Reporting Being Uninsured
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERUNINS,8.475,-99,% Reporting Being Uninsured
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERUNINS,13.669,-99,% Reporting Being Uninsured
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,AVAIANSP,65,-99,Avian Species Richness
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,AVAIANSP,142,-99,Avian Species Richness
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,AVAIANSP,200,-99,Avian Species Richness
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,AVAIANSP,71,-99,Avian Species Richness
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,AVAIANSP,40,-99,Avian Species Richness
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,AVAIANSP,152,-99,Avian Species Richness
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,AVAIANSP,188,-99,Avian Species Richness
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,AVAIANSP,85,-99,Avian Species Richness
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,AVAIANSP,86,-99,Avian Species Richness
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,AVAIANSP,122,-99,Avian Species Richness
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,AVAIANSP,118,-99,Avian Species Richness
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,AVAIANSP,63,-99,Avian Species Richness
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,AVAIANSP,72,-99,Avian Species Richness
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,AVAIANSP,125,-99,Avian Species Richness
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,AVAIANSP,68,-99,Avian Species Richness
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,AVAIANSP,153,-99,Avian Species Richness
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERGREEN,31.05,-99,Percent Green Space
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERGREEN,81.29,-99,Percent Green Space
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERGREEN,49.75,-99,Percent Green Space
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERGREEN,81.64,-99,Percent Green Space
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERGREEN,40.94,-99,Percent Green Space
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERGREEN,87.23,-99,Percent Green Space
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERGREEN,84.21,-99,Percent Green Space
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERGREEN,39.41,-99,Percent Green Space
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERGREEN,70.05,-99,Percent Green Space
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERGREEN,87.21,-99,Percent Green Space
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERGREEN,48.64,-99,Percent Green Space
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERGREEN,78.4,-99,Percent Green Space
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERGREEN,62.18,-99,Percent Green Space
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERGREEN,94.26,-99,Percent Green Space
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERGREEN,75.41,-99,Percent Green Space
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERGREEN,90.98,-99,Percent Green Space
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERIMSTR,39.13,-99,Percent of Streams Impaired
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERIMSTR,33.37,-99,Percent of Streams Impaired
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERIMSTR,34.57,-99,Percent of Streams Impaired
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERIMSTR,23.39,-99,Percent of Streams Impaired
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERIMSTR,19.43,-99,Percent of Streams Impaired
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERIMSTR,7.21,-99,Percent of Streams Impaired
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERIMSTR,11.73,-99,Percent of Streams Impaired
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERIMSTR,31.36,-99,Percent of Streams Impaired
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERIMSTR,37.67,-99,Percent of Streams Impaired
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERIMSTR,0,-99,Percent of Streams Impaired
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERIMSTR,9.47,-99,Percent of Streams Impaired
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERIMSTR,40.19,-99,Percent of Streams Impaired
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERIMSTR,20.68,-99,Percent of Streams Impaired
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERIMSTR,1.59,-99,Percent of Streams Impaired
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERIMSTR,2.11,-99,Percent of Streams Impaired
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERIMSTR,5.79,-99,Percent of Streams Impaired
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMTOXIC,6,-99,Number of Toxic Release Inventory Sites
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMTOXIC,6,-99,Number of Toxic Release Inventory Sites
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMTOXIC,4,-99,Number of Toxic Release Inventory Sites
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMTOXIC,3,-99,Number of Toxic Release Inventory Sites
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMTOXIC,0,-99,Number of Toxic Release Inventory Sites
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMTOXIC,3,-99,Number of Toxic Release Inventory Sites
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMTOXIC,6,-99,Number of Toxic Release Inventory Sites
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERCONSE,0,-99,Percent Conservation Easement
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERCONSE,4,-99,Percent Conservation Easement
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERCONSE,0,-99,Percent Conservation Easement
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERCONSE,0,-99,Percent Conservation Easement
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERCONSE,0.72,-99,Percent Conservation Easement
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERCONSE,10.14,-99,Percent Conservation Easement
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERCONSE,0,-99,Percent Conservation Easement
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERCONSE,0,-99,Percent Conservation Easement
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERCONSE,0.06,-99,Percent Conservation Easement
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERCONSE,0.32,-99,Percent Conservation Easement
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERCONSE,0,-99,Percent Conservation Easement
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERCONSE,6.95,-99,Percent Conservation Easement
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERCONSE,1.5,-99,Percent Conservation Easement
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERCONSE,2,-99,Percent Conservation Easement
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERCONSE,0.43,-99,Percent Conservation Easement
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERCONSE,5.7,-99,Percent Conservation Easement
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMFOODP,1,-99,Number of Food Pantries
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMFOODP,1,-99,Number of Food Pantries
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMFOODP,1,-99,Number of Food Pantries
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMFOODP,3,-99,Number of Food Pantries
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMFOODP,0,-99,Number of Food Pantries
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMFOODP,1,-99,Number of Food Pantries
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMFOODP,2,-99,Number of Food Pantries
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMFOODP,0,-99,Number of Food Pantries
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMFOODP,1,-99,Number of Food Pantries
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMFOODP,0,-99,Number of Food Pantries
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMFOODP,0,-99,Number of Food Pantries
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMSGARD,2,-99,Number of School Gardens
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMSGARD,2,-99,Number of School Gardens
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMSGARD,2,-99,Number of School Gardens
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMSGARD,0,-99,Number of School Gardens
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMSGARD,1,-99,Number of School Gardens
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMSGARD,0,-99,Number of School Gardens
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMSGARD,1,-99,Number of School Gardens
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMSGARD,2,-99,Number of School Gardens
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMSGARD,1,-99,Number of School Gardens
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMSGARD,1,-99,Number of School Gardens
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMSGARD,2,-99,Number of School Gardens
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMSGARD,1,-99,Number of School Gardens
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMSGARD,1,-99,Number of School Gardens
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMSGARD,1,-99,Number of School Gardens
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMSGARD,1,-99,Number of School Gardens
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMSGARD,1,-99,Number of School Gardens
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,NUMCOMGAR,3,-99,Number of Community Gardens
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,NUMCOMGAR,1,-99,Number of Community Gardens
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,NUMCOMGAR,1,-99,Number of Community Gardens
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,NUMCOMGAR,0,-99,Number of Community Gardens
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,NUMCOMGAR,4,-99,Number of Community Gardens
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,NUMCOMGAR,0,-99,Number of Community Gardens
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,NUMCOMGAR,1,-99,Number of Community Gardens
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,NUMCOMGAR,0,-99,Number of Community Gardens
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,NUMCOMGAR,1,-99,Number of Community Gardens
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,NUMCOMGAR,1,-99,Number of Community Gardens
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,NUMCOMGAR,0,-99,Number of Community Gardens
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,NUMCOMGAR,1,-99,Number of Community Gardens
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,NUMCOMGAR,0,-99,Number of Community Gardens
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,NUMCOMGAR,0,-99,Number of Community Gardens
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,NUMCOMGAR,0,-99,Number of Community Gardens
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,NUMCOMGAR,0,-99,Number of Community Gardens
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,MEANHVAL,157393.65,-99,Mean Home Value
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,MEANHVAL,131086.69,-99,Mean Home Value
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,MEANHVAL,259721.05,-99,Mean Home Value
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,MEANHVAL,75612.13,-99,Mean Home Value
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,MEANHVAL,181510.42,-99,Mean Home Value
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,MEANHVAL,110227.98,-99,Mean Home Value
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,MEANHVAL,71262.48,-99,Mean Home Value
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,MEANHVAL,90948.24,-99,Mean Home Value
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,MEANHVAL,110377.44,-99,Mean Home Value
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,MEANHVAL,58543.99,-99,Mean Home Value
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,MEANHVAL,125450.59,-99,Mean Home Value
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,MEANHVAL,124076.77,-99,Mean Home Value
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,MEANHVAL,192582.47,-99,Mean Home Value
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,MEANHVAL,141321.86,-99,Mean Home Value
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,MEANHVAL,124259.19,-99,Mean Home Value
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,MEANHVAL,96424.8,-99,Mean Home Value
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER1MPRE,0.963299,-99,% Population within 1 Mile of Pre-K/Nursery
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER1MPRE,0.159206,-99,% Population within 1 Mile of Pre-K/Nursery
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER1MPRE,0.430701,-99,% Population within 1 Mile of Pre-K/Nursery
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER1MPRE,0.090838,-99,% Population within 1 Mile of Pre-K/Nursery
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER1MPRE,0.631091,-99,% Population within 1 Mile of Pre-K/Nursery
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER1MPRE,0.042612,-99,% Population within 1 Mile of Pre-K/Nursery
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER1MPRE,0.200559,-99,% Population within 1 Mile of Pre-K/Nursery
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER1MPRE,0.905161,-99,% Population within 1 Mile of Pre-K/Nursery
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER1MPRE,0.547567,-99,% Population within 1 Mile of Pre-K/Nursery
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PER1MPRE,0.413715,-99,% Population within 1 Mile of Pre-K/Nursery
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PER1MPRE,0.603387,-99,% Population within 1 Mile of Pre-K/Nursery
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PER1MPRE,0.196836,-99,% Population within 1 Mile of Pre-K/Nursery
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PER1MPRE,0.565519,-99,% Population within 1 Mile of Pre-K/Nursery
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PER1MPRE,0.08299,-99,% Population within 1 Mile of Pre-K/Nursery
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PER1MPRE,0.445698,-99,% Population within 1 Mile of Pre-K/Nursery
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PER1MPRE,0.094604,-99,% Population within 1 Mile of Pre-K/Nursery
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PER3MPRE,1,-99,% Population within 3 Miles of Pre-K/Nursery
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PER3MPRE,0.578841,-99,% Population within 3 Miles of Pre-K/Nursery
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PER3MPRE,0.786158,-99,% Population within 3 Miles of Pre-K/Nursery
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PER3MPRE,0.635804,-99,% Population within 3 Miles of Pre-K/Nursery
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PER3MPRE,0.892634,-99,% Population within 3 Miles of Pre-K/Nursery
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PER3MPRE,0.294696,-99,% Population within 3 Miles of Pre-K/Nursery
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PER3MPRE,0.457761,-99,% Population within 3 Miles of Pre-K/Nursery
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PER3MPRE,1,-99,% Population within 3 Miles of Pre-K/Nursery
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PER3MPRE,1,-99,% Population within 3 Miles of Pre-K/Nursery
