tct_fips,acc_naics1,D1,D2,D3
13059000600,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.1653358899910682,0.1960158101901341,0.2544814625774122
13059000900,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.16491463489302693,0.27297707295660134,0.3144262675799022
13059001200,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.38898237340302405,0.45808166855933147,0.547429070066408
13059001700,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5483083712351507,0.6013892436378436,0.6742378317940837
13059001800,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.21780098394645134,0.31255064793873377,0.3747403021514222
13059001900,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.24120960195169827,0.30865754211590685,0.3407828791889885
13059002000,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.2243056017253324,0.3059228883402657,0.3949827250341521
13059002100,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.23668069402102088,0.3051015521972089,0.4759966463562455
13059002200,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.3761752948212648,0.41149964779848874,0.4853611945216501
13059030101,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5558693947094416,0.6749230872003841,0.728842441132603
13059030102,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.4231002751811169,0.5664057401516067,0.632691235717569
13059030200,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.24271702245341417,0.29695591168907304,0.41221266580419325
13059130300,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.8310434613582706,0.9106101381544646,1.0808860847515749
13059130400,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.9245911370501986,1.2059079095908565,1.2517679174078444
13059130500,ALL OTHER MISCELLANEOUS STORE RETAILERS,1.547118754854383,1.7086609685504186,1.818085571640915
13059130601,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.7476452682875648,0.8890380476903167,0.9058678853582598
13059130602,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.6081888121327599,0.6491172594756127,0.7035241654306782
13059130701,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.4087021345976348,0.4324975583661162,0.5256576921702979
13059130702,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.25761054495782637,0.3906931037892613,0.5930839873614425
13059140300,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5664297873530807,0.9123783009689693,1.1705452719899787
13059140400,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.614262965892842,0.750558725694165,1.2669548477684862
13059140500,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.5288772603114548,0.8885331477629579,1.0910144693560888
13059140600,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.9972331809997775,1.4157748622269692,1.609226689021225
13059150300,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.9557015812634327,0.9959655756209523,1.0628641613472898
13059150400,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.6422343601348997,0.7639888862637049,0.8415599531576377
13059150500,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.6224113865623779,0.716470222822011,0.7999731809335578
13059150600,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.4087663346179753,0.5505361334545761,0.6015359335594278
13059150701,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.3651599292124733,0.5917358898710916,0.6647659699692632
13059150702,ALL OTHER MISCELLANEOUS STORE RETAILERS,1.0631351940726195,1.181009741080292,1.432032256520663
13059150800,ALL OTHER MISCELLANEOUS STORE RETAILERS,0.7473161644638031,1.0180418043946,1.236498698192017
13059150900,ALL OTHER MISCELLANEOUS STORE RETAILERS,1.0369842494065353,1.6329317832031867,1.913955021466092
13059000100,ALL OTHER PERSONAL SERVICES,0.2578144586673959,0.28131714163277843,0.2835251105323563
13059000401,ALL OTHER PERSONAL SERVICES,0.5208634491818227,0.6507913894310217,1.4051791566023135
13059000402,ALL OTHER PERSONAL SERVICES,0.5560358809850694,0.6788377181910433,0.7794954713326869
13059000600,ALL OTHER PERSONAL SERVICES,0.1955887721185539,0.4065168730565383,0.49782134891541463
13059000900,ALL OTHER PERSONAL SERVICES,0.3632293278556696,0.5655324794910884,0.7259324411327126
13059001200,ALL OTHER PERSONAL SERVICES,0.5077971552234313,0.94347283122486,1.1026124177168428
13059001700,ALL OTHER PERSONAL SERVICES,0.5106196463025438,0.6402103727360416,0.877974375259059
13059001800,ALL OTHER PERSONAL SERVICES,0.368519856826996,0.4461012906390891,0.5708307913839951
13059001900,ALL OTHER PERSONAL SERVICES,0.25334626846451,0.41654812227944815,0.4993401894438681
13059002000,ALL OTHER PERSONAL SERVICES,0.395970059823825,0.7935023606567159,0.970395365591465
13059002100,ALL OTHER PERSONAL SERVICES,0.364597390873271,0.48818970601293604,0.8168351862122017
