GEOID,est,var,description,source,type,moe
13059000402,140.55474604136023,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000600,324.6469473510752,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000900,167.42857142857142,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059001200,146.18408292609314,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059001700,101.74618370665686,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059001800,206.93620844564236,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059001900,170.74618749383106,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059002000,126.4299802761341,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059002100,259.7060150019933,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059002200,82.41417294922742,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059030101,145.71451964849885,med_change_2000to2020_p,Percent Change in Median Building Price per Sq Ft 2000-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
