OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
162,13,35240,02402552,1335240,Gresham Park,Gresham Park CDP,57,U1,N,N,G4210,S,7271052.000000000000000,4868.000000000000000,+33.7070165,-084.3119759
163,13,38105,02583405,1338105,Heron Bay,Heron Bay CDP,57,U1,N,N,G4210,S,11683480.000000000000000,991698.000000000000000,+33.3390427,-084.1921624
164,13,38866,02402591,1338866,Hilltop,Hilltop CDP,57,U1,N,N,G4210,S,2492076.000000000000000,56741.000000000000000,+33.1082347,-084.4371406
165,13,41347,02402621,1341347,Irondale,Irondale CDP,57,U1,N,N,G4210,S,8173703.000000000000000,118365.000000000000000,+33.4832747,-084.3655120
166,13,43210,02806016,1343210,Kennesaw State University,Kennesaw State University CDP,57,U1,N,N,G4210,S,1015625.000000000000000,0.000000000000000,+34.0378587,-084.5826453
167,13,44956,02403214,1344956,Lakeview Estates,Lakeview Estates CDP,57,U1,N,N,G4210,S,1316653.000000000000000,80720.000000000000000,+33.7049801,-084.0376790
168,13,46832,02403237,1346832,Lithia Springs,Lithia Springs CDP,57,U1,N,N,G4210,S,34813537.000000000000000,131797.000000000000000,+33.7824868,-084.6484875
169,13,48288,02403251,1348288,Mableton,Mableton CDP,57,U1,N,N,G4210,S,53551367.000000000000000,272100.000000000000000,+33.8144692,-084.5657483
170,13,51660,02806020,1351660,Milstead,Milstead CDP,57,U1,N,N,G4210,S,1130533.000000000000000,55811.000000000000000,+33.6879460,-083.9907258
171,13,53186,02403313,1353186,Mountain Park,Mountain Park CDP,57,U1,N,N,G4210,S,14986244.000000000000000,95131.000000000000000,+33.8466825,-084.1321556
172,13,56112,02403348,1356112,North Decatur,North Decatur CDP,57,U1,N,N,G4210,S,12720130.000000000000000,0.000000000000000,+33.8073370,-084.2888904
173,13,56168,02403349,1356168,North Druid Hills,North Druid Hills CDP,57,U1,N,N,G4210,S,11526485.000000000000000,21449.000000000000000,+33.8194923,-084.3267018
174,13,59080,02403395,1359080,Panthersville,Panthersville CDP,57,U1,N,N,G4210,S,9497568.000000000000000,52671.000000000000000,+33.7083200,-084.2744739
175,13,63952,02403465,1363952,Redan,Redan CDP,57,U1,N,N,G4210,S,20949101.000000000000000,99137.000000000000000,+33.7386891,-084.1671177
176,13,67676,02403500,1367676,Russell,Russell CDP,57,U1,N,N,G4210,S,3009216.000000000000000,2875.000000000000000,+33.9790005,-083.6922705
177,13,69392,02402833,1369392,Scottdale,Scottdale CDP,57,U1,N,N,G4210,S,8616809.000000000000000,18701.000000000000000,+33.7954336,-084.2660120
178,13,79612,02402972,1379612,Vinings,Vinings CDP,57,U1,N,N,G4210,S,8096902.000000000000000,271631.000000000000000,+33.8591600,-084.4678430
