tct_fips,"ACCOUNTING, TAX PREPARATION, BOOKKEEPING, AND PAYROLL SERVICES",ALL OTHER MISCELLANEOUS STORE RETAILERS,ALL OTHER PERSONAL SERVICES,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",ALL OTHER SPECIAL TRADE CONTRACTORS,ALL OTHER SUPPORT SERVICES,AUTO REPAIR AND MAINTENANCE,"AUTO REPAIR AND,                                                      MAINTENANCE",AUTOMOTIVE PARTS AND ACCESSORIES STORES,BEER AND WINE ON PREMISES/SUNDAY,BEER/WINE PKG/SUNDAY SALES,BEER/WINE/LIQUOR ON PREMI/SUNDAY,BEER/WINE/LIQUOR ON PREMISES C,BEER/WINE/LIQUOR PKG/SUNDAY SALES,CHILD DAY CARE SERVICES,COMPUTER SYSTEMS DESIGN SERVICES,CONVENIENCE STORES,DRINKING PLACE ( ALCOHOLIC BEVERAGES),ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES,FITNESS AND RECREATIONAL SPORTS CENTERS,FULL-SERVICE RESTAURANTS,GRAPHIC DESIGN SERVICES,"HAIR, NAIL, AND SKIN CARE SERVICES",HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",INSURANCE AGENCIES AND BROKERAGE,INTERIOR DESIGN SERVICES,JANITORIAL SERVICES,LANDSCAPING SERVICES,LIMITED-SERVICE EATING PLACE,LOCAL GENERAL FREIGHT TRUCKING,LONG-DISTANCE GENERAL FREIGHT,NEW AND USED CAR DEALERS,NON-PROFIT ORGANIZATION,OFFICE ADMINISTRATION SERVICES,OFFICE OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS,OFFICES OF DENTISTS,OFFICES OF LAWYERS,OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),OFFICES OF REAL ESTATE AGENTS,OTHER BUSINESS SUPPORT SERVICES,OTHER CLOTHING STORES,OTHER DIRECT SELLING ESTABLISHMENTS,OTHER HEALTH AND PERSONAL CARE SERVICES,OTHER PERSONAL CARE SERVICES,OTHER SERVICES TO BUILDING AND DWELLINGS,OTHER SPECIALIZED SERVICES,PHARMACIES AND DRUG RETAILERS,PHOTOGRAPHIC SERVICES,"PLUMBING, HEATING, AND  AIR-CONDITIONING CONTRACTORS",REAL ESTATE PROPERTY MANAGERS,RESIDENTIAL BUILDING CONSTRUCTION,SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE),TIRE DEALERS,VENDING MACHINE OPERATORS,VETERINARY SERVICES,VIDEO TAPE AND DISC RENTAL,WOMEN'S CLOTHING STORES
13059140600,1.8891555068822885,1.609226689021225,3.547184583789951,2.7297477854819374,2.6519933886148017,5.48135315222595,2.4865774705704697,2.59791345604517,3.1334268905397122,3.1005195657892055,1.7765186035840974,3.3154894789386105,4.514183123389973,3.482614297901068,3.2078131771082012,3.9869431386940235,1.875306204372038,4.514133588370886,3.661370744503178,2.312525208720697,2.627626358287219,1.7547494376752384,3.3496825304636584,1.5845943709402113,4.485610648346698,2.565759709004806,2.337059986212529,4.868723729810947,1.4197291347912566,1.3442318515919691,1.9998336024553218,3.678747118516231,2.8719064883413785,4.192283898447589,3.009875307294249,3.052045202950899,2.530284018540173,3.8877528126176806,3.758789787122885,3.3062086375835733,2.951578877975854,3.896187594066137,4.544860971924471,4.222214964160945,2.364648994418713,2.4233355445823808,3.2752201488280672,3.3664348795263286,1.5898167520714162,3.1713251250748726,3.129748955010323,2.4866438479377564,2.135178495234091,2.58589918124978,2.8814097905921234,3.0871896822542446,4.290591236481953,2.4683883768646466,2.0770865955399405,4.075198715630582
13059150300,1.2204554002698726,1.0628641613472898,1.453185763619853,0.7651450162627563,1.663889366202085,1.007952357878456,1.440776498695758,1.395224742058435,1.9444090420117732,1.5627256597578396,1.2014964063855456,1.2296093821936172,2.5798241736966485,1.5522208680334248,1.6710634073951331,1.7955884174306767,1.0458020812596907,2.4474136167267533,1.5445838209294915,1.2068739323658388,1.2092332081163113,1.0231061494434082,1.1088870203037198,1.0278671688627943,1.5960392697804857,1.299499928850757,1.255255226542946,0.8952514260164678,1.3161974640638259,1.6236908098713585,1.2793803265731762,1.8225187389759034,2.4806766779243508,1.2147387096725404,1.6705662935636127,2.1412744247187034,1.5467474225038096,1.7169616619484014,1.8713927812322249,1.1038888184850961,1.757017923803315,0.9403893585741158,2.3648364323815017,2.1023593148977695,1.796559030395931,1.1985210993031434,1.2918548684361033,1.6704611158441982,0.5643361584941305,1.5360737666630155,1.9704900086843884,2.0896318673596372,0.5952874265094967,0.8255022364886396,1.4459889315580474,1.6943926294691873,1.7835938613296558,1.5637871535801318,1.613990227172339,1.5522784384211434
13059150400,1.6309269262301296,0.8415599531576377,1.5614270932187668,1.358110659481371,2.7622831637456384,2.5763379916190225,2.4340138450759605,2.0775015079679244,2.8863646741776594,2.090636253054893,0.9228436678886409,1.5534645125109092,2.9359483975270737,1.664986277118034,2.271671533377649,2.588299883074839,0.7098862693993151,2.9359441781203093,2.2472665235025118,1.1390984423829074,1.6891177480825907,0.7045373490302941,1.7103649488927042,1.5100848320608482,2.7557723530972114,2.0807051241502665,2.154428353686762,1.9924149745964788,2.1904052254117965,1.1482287414376826,1.6959351398508151,2.8171547625399707,3.1563809867162558,2.982105730192876,2.3232137246600026,1.8694827075156792,1.9970395560510106,2.3972151349346724,2.007756904016819,1.641050998708959,1.1907128765082922,1.6460972780413987,3.0277552894467687,2.94910126656174,1.8085538573936573,1.8026562703737574,2.295984516072686,2.5136440750244904,0.8192776439475685,2.1533415777565357,2.0068745346305352,1.8744595519039529,0.4735362869245768,0.7583644590180123,1.5714743573622023,2.9177003735075258,2.898365942710109,1.8305810043370487,2.179234420182871,2.708845528716199
13059150500,0.9039865055139809,0.7999731809335578,1.4388929485942368,1.0430749740391925,1.9619044996310948,2.802521791375793,1.4365124416094288,1.62952961914322,2.215257896299261,0.9914201670045545,0.7018295739066446,0.849786237127473,2.440895479635524,1.5567635840485436,1.04339636405475,2.0750404085691345,0.6251349859527989,2.4405406076028013,1.7358642863672218,0.8405020595002525,1.3944950067163653,0.7337695606973732,1.2366965871403313,0.6711616591177828,2.3737286421416157,1.7757746418175366,1.4021484592070261,2.307703233004473,1.1880447852748242,0.958812071092171,0.7792154467844704,3.0964108123968077,2.331526614345599,2.7645796136034653,1.6299223156019587,1.1115811687713768,0.9066013277117259,2.34366706932959,1.9166881739338928,0.7031162297492392,0.8139770186567314,1.4384785145419106,2.5828297984347754,2.5165587039698645,1.3198551801651435,0.9096061360335662,1.4322129849657868,1.6337136821824443,0.5287674777157197,1.8291291521232087,1.5058862504106263,1.1093916807043998,0.37680238443032965,1.1429457139264703,0.9570627997609942,1.8143069601302664,2.4397898627553056,1.4864131071713023,0.9338076035225407,2.329929629107757
13059150600,0.617874964696549,0.6015359335594278,1.797339369308213,1.0776696451499501,1.5401014584001826,3.163082764326671,0.8446497978249937,1.1734172632503959,1.4225047863503801,0.6285326909167722,0.6408523180733838,0.8510334593949905,2.546474386235453,1.5046943471059957,0.7398913858989012,2.6314058962843414,0.6316740504071329,2.5463151923891645,2.037983083935381,0.7493557165441826,0.9225325657679676,0.6020100605125409,0.8726263928024093,0.5299318952806114,2.5774752734685045,1.4918873422582195,0.734152289922293,2.696290867095331,0.8706251835800723,0.793393972112146,0.5857429863707321,2.859341567451175,2.028144992609301,3.052249798019672,0.9726097388883972,0.7747499620981161,0.5272610942661039,2.683559716092769,1.916005573599668,0.6316206520690146,0.5728372926625234,1.59721067824556,2.6880803505806035,2.6720322999779986,0.8980997613206704,0.5171282320274908,0.9900154761349834,1.6246723103158585,0.47219415917336516,1.063545008644444,1.4665941760511594,1.513111860826142,0.40048457638344276,0.7343221853570989,0.7397148791391605,1.2397428571976556,2.53970796768071,0.9876809995784644,1.0559045978114368,2.610022851759102
13059150701,0.7037508396467934,0.6647659699692632,2.3518746420501744,0.6706012615672333,2.0043812639977596,4.2464401314483995,1.4841295835792911,2.037863249270645,1.3451934222940372,0.9300617398110808,0.6548981742808406,1.1159688319863883,3.6547389089171816,2.575358130589051,1.292645971137105,2.216394660591634,0.7622702829715354,3.6539718618460473,2.487374557590934,1.0038534114248612,1.0481269838789358,0.6112333849195355,1.1594041066602196,0.6447202127403641,3.5531387560845316,1.6975231945766638,0.7500393733388768,3.469150767660653,1.066086254268209,0.7292254851851773,0.8005357518044183,2.2156199181568876,2.6259116068528834,4.162106444506181,0.9846378856827506,1.1624541271305362,0.9273076798886656,3.6973169802141808,2.9833166890472542,1.2715368588290312,0.8828053170622427,1.7866141121876136,3.710316441500247,3.7728139720957423,1.000075018709728,0.8442123781161787,1.177686928600375,2.2499443111010375,0.47902568122894257,1.2040667429419207,1.6416894867376433,1.7092314597302123,0.6817306640331571,0.7003103275221105,1.011346659628588,1.4503018119149926,3.647030381812939,0.7703737585911189,0.9919509812279661,3.7095257880620496
13059150702,1.3289445997632559,1.432032256520663,3.3298184035786265,0.9160095296940417,1.5343455441618041,5.5319927597002785,2.719972125902382,3.1318800668549125,2.385188810935006,2.13733737985307,1.2870413659525801,2.2220736596602304,4.96182932071418,3.8806711467532984,2.509462114523769,2.1057212148250004,1.8170909176390582,4.959789854989063,3.4442852312121284,0.8121927719944364,1.9833698239227222,1.3078208325067464,1.9209452689155142,1.2876423369797305,4.833357926596715,1.5981743434079,1.9099958236416563,3.5377439247148224,0.9303802833160079,1.2269968163251768,1.8816954043590348,1.6192849471372603,3.6258304392116285,5.465392024078319,2.102887398226005,2.1244347375663426,2.073632424730433,4.926233239422367,4.289095816998753,2.2847122809199725,2.109045801581473,2.2013625072523286,5.009418457821347,5.078094834845323,1.9316807626670545,1.9511728097970058,2.2782579975812065,3.508357276016825,0.6716793607789061,2.2463809132656234,1.4323781241961902,2.3094822951960277,1.3238259901530756,1.611906073946438,2.144130479066437,2.4583893181654104,4.953901072349389,1.9229979123444598,1.9244286565448219,4.985371195209845
13059150800,1.4778551922745229,1.236498698192017,2.8377986417072143,0.7828179545626807,1.7722146839322586,4.8690528505688935,2.6487111613417786,3.150953954245792,2.424638528448145,1.6178847464996318,1.4875547797914819,1.4956143099579198,4.488263557380977,3.2806668873362352,1.8652283749280816,2.1586845824738896,1.415311993411327,4.48473846515384,2.9095452528018315,0.8156051491112671,1.9019622640330343,1.4204896971393173,1.516424600860527,1.4528727212628618,4.397504635082583,1.8466360083467646,1.8437844261906473,2.756283466654606,1.0254600916368866,0.649674287142309,1.4386438629296363,1.5554899550436483,3.787714802128393,4.85168960605349,1.7183696123742138,1.6549472878576272,1.7552239883086906,4.336097318935858,3.8232945165030516,1.7828256479304012,1.5103678423744296,1.7119205188209032,4.497928590513543,4.565400630477313,1.557378047462523,1.5297538988208264,1.9080798485897974,3.1293686336009396,0.5979207132442669,2.224536158926554,1.075039434387021,1.9140411231563497,0.9102492680472941,1.4426672392553903,1.5980243646427998,2.309325200382849,4.48473846515384,1.8407144659071217,1.6386798644541012,4.198440905181464
13059150900,2.125126930000468,1.913955021466092,3.8707811379813823,1.3916016596100855,2.564016001882148,5.6183674617854305,3.6478880257332507,3.8627808812640216,3.6152519526816596,2.7929283843895982,2.386056832318563,2.609425605853862,5.2926204889096065,3.786667282742519,2.9457723970858782,3.125803944962285,2.310285439325725,5.291105901872266,3.8812181076862182,1.593182461144572,2.8768961525704486,2.151809767193073,2.5554625771231487,2.2217537446396287,5.163383976056077,2.843969848283963,2.9901367522054265,3.517725579435004,2.0503505850484007,1.458222022815975,2.3837768619996833,2.422418381543335,4.617914291823458,5.5352464650883855,2.836909321934915,2.840703391622784,2.836785848724572,5.058804765940657,4.444690771316894,2.7107281473108302,2.349656836125131,2.577766251724692,5.144130083290975,5.371843327656223,2.5637163657566826,2.4042831497560355,3.1745364129358364,3.9329837618283934,1.1229416563762378,3.49568413716611,1.819805473137715,2.436110297971177,1.776877320194864,2.1161630319594322,2.77196953403823,3.5871013403584175,5.284171079974931,3.0447138347689906,2.604537263782657,4.769702003524476
